Date,Close,High,Low,Open,Volume
2015-02-09,26.766183853149414,26.793011545559803,26.477774219640615,26.50460361777916,155559200
2015-02-10,27.280405044555664,27.30947065641,26.86456040190281,26.86679490610053,248034000
2015-02-11,27.919816970825195,27.92876010234947,27.38771343809007,27.44807744371904,294247200
2015-02-12,28.2730655670166,28.50111117734957,28.07408556321851,28.18363594935128,297898000
2015-02-13,28.411680221557617,28.456394175420307,28.09197050482817,28.456394175420307,217088800
2015-02-17,28.579364776611328,28.814117337065813,28.375912330120336,28.50334899575121,252609600
2015-02-18,28.778348922729492,28.791762771854323,28.494409940911336,28.53465319401436,179566800
2015-02-19,28.717979431152344,28.8476523081472,28.691151736414305,28.724686354836855,149449600
2015-02-20,28.952735900878906,28.952735900878906,28.628555370380557,28.75599034903679,195793600
2015-02-23,29.735233306884766,29.735233306884766,28.988499695220717,29.06898617747203,283896400
2015-02-24,29.54967498779297,29.869386497832515,29.326101745777628,29.721827339352725,276912400
2015-02-25,28.793996810913086,29.422240496915805,28.650910070132056,29.41329565667243,298846800
2015-02-26,29.158424377441406,29.25903166290082,28.306610796317273,28.793998869255304,365150000
2015-02-27,28.72022247314453,29.191962188079685,28.671036083040793,29.064523792413485,248059200
2015-03-02,28.86107063293457,29.1271233518834,28.68444926274765,28.896843172439333,192386800
2015-03-03,28.921438217163086,28.957210758956393,28.6374992102969,28.83201027413717,151265200
2015-03-04,28.73810386657715,28.966149535298193,28.688920890438336,28.86330775138471,126665200
2015-03-05,28.26189613342285,28.785056734152093,28.116573175755203,28.747049689975064,226068400
2015-03-06,28.304367065429688,28.923664085179542,28.228352995409573,28.706797806067318,291368400
2015-03-09,28.425092697143555,28.9683772741968,27.960060094172096,28.608422628313157,354114000
2015-03-10,27.83710289001465,28.442986128726435,27.678366103995987,28.26189236121879,275426400
2015-03-11,27.32958984375,27.895229815540816,27.300525939309438,27.890759101676228,275756000
2015-03-12,27.82369041442871,27.924299400851165,27.193213914616464,27.34524379357899,193450800
2015-03-13,27.63141632080078,28.036085051070664,27.40560857319144,27.812511807769827,207309200
2015-03-16,27.935476303100586,27.935476303100586,27.47044524947733,27.696252998985834,143497200
2015-03-17,28.402746200561523,28.46534643834115,28.09197951606369,28.147872829185296,204092400
2015-03-18,28.72245216369629,28.876718233033966,28.25294873765399,28.39379925374818,261083600
2015-03-19,28.505586624145508,28.89683977388868,28.483229642448713,28.785053159676345,183238000
2015-03-20,28.14786720275879,28.706798516522504,27.98242350659308,28.673263899935556,274780400
2015-03-23,28.440744400024414,28.583831100662433,28.28647835794704,28.4206236323072,150838800
2015-03-24,28.324495315551758,28.6263171532708,28.295429701665416,28.445225074076486,131369200
2015-03-25,27.5844669342041,28.35355945901305,27.5844669342041,28.290959222012976,206620800
2015-03-26,27.776735305786133,27.919822024619,27.410075375560876,27.445847908133214,190291600
2015-03-27,27.555395126342773,27.879575563185004,27.47938106198508,27.850511663117892,158184800
2015-03-30,28.25295066833496,28.259657592550866,27.72308148080888,27.734260824987675,188398800
2015-03-31,27.819211959838867,28.27977218308662,27.8035619048468,28.19034256639135,168362400
2015-04-01,27.778968811035156,27.973478100071915,27.5218593018196,27.906405460892874,162485600
